agencyId,agencyName,uoaId,uoaName,rcId,rcName,bcId,bcName,ocId,ocName,oId,oName,amount
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,----,None,A603,CDBG-DR Operations Admin PS,01,F/T SALARIED,001,FULL YEAR POSITIONS,290341
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,----,None,0222,Deputy Mayor for Strategic Policy,01,F/T SALARIED,001,FULL YEAR POSITIONS,913202
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,----,None,0264,NYC Service Office,01,F/T SALARIED,001,FULL YEAR POSITIONS,786044
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,----,None,0277,Senior Advisor to the Mayor,01,F/T SALARIED,001,FULL YEAR POSITIONS,3151223
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,----,None,0277,Senior Advisor to the Mayor,03,UNSALARIED  ,031,UNSALARIED,78360
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,----,None,0277,Senior Advisor to the Mayor,05,AMT TO SCHED,051,SALARY ADJUSTMENTS,8657
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0006,COUNSEL TO THE MAYOR,0229,Counsel to the Mayor,01,F/T SALARIED,001,FULL YEAR POSITIONS,956026
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0006,COUNSEL TO THE MAYOR,0230,Mayor's Judiciary Committee,01,F/T SALARIED,001,FULL YEAR POSITIONS,202774
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0006,COUNSEL TO THE MAYOR,0245,Comm to Combat Domestic Violence,01,F/T SALARIED,001,FULL YEAR POSITIONS,1270628
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0006,COUNSEL TO THE MAYOR,0250,Office of Immigrant Affairs,01,F/T SALARIED,001,FULL YEAR POSITIONS,760192
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0006,COUNSEL TO THE MAYOR,0283,Counsel to the Mayor - MF,01,F/T SALARIED,001,ULL YEAR POSITIONS,40000
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0006,COUNSEL TO THE MAYOR,0287,MOIA Citizenship Program,01,F/T SALARIED,001,FULL YEAR POSITIONS,100940
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0008,D/M FOR HUMAN SVC,0217,D/M FOR HEALTH & HUMAN SERVICES,01,F/T SALARIED,001,FULL YEAR POSITIONS,1622707
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0011,D/M FOR FINANCE AND ECO. DEV.,0226,D/M for Housing & Economic Development,01,F/T SALARIED,001,FULL YEAR POSITIONS,629605
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0011,D/M FOR FINANCE AND ECO. DEV.,0231,NY EMPOWERMENT ZONE,01,F/T SALARIED,001,FULL YEAR POSITIONS,11406
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0011,D/M FOR FINANCE AND ECO. DEV.,0253,CAPITAL PROJECT DEVELOPMENT,01,F/T SALARIED,001,FULL YEAR POSITIONS,466613
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0040,D/M FOR GOVERNMENT RELATIONS,0220,Intergovernmental Affairs,01,F/T SALARIED,001,FULL YEAR POSITIONS,2432926
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0211,CHIEF OF STAFF,01,F/T SALARIED,001,FULL YEAR POSITIONS,10026164
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0211,CHIEF OF STAFF,03,UNSALARIED  ,031,UNSALARIED,34435
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0211,CHIEF OF STAFF,04,ADD GRS PAY ,045,HOLIDAY PAY,1189
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0211,CHIEF OF STAFF,04,ADD GRS PAY ,061,SUPPER MONEY,1000
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0211,CHIEF OF STAFF,05,AMT TO SCHED,051,SALARY ADJUSTMENTS,4505
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0214,First Deputy Mayor,01,F/T SALARIED,001,FULL YEAR POSITIONS,1304075
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0218,SPECIAL EVENTS,01,F/T SALARIED,001,FULL YEAR POSITIONS,1642654
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0218,SPECIAL EVENTS,03,UNSALARIED  ,031,UNSALARIED,43848
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0218,SPECIAL EVENTS,05,AMT TO SCHED,051,SALARY ADJUSTMENTS,3184
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0243,Citywide Capital Services,01,F/T SALARIED,001,FULL YEAR POSITIONS,1277330
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0248,Public Design Commission,01,F/T SALARIED,001,FULL YEAR POSITIONS,545035
002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,0053,FIRST DEPUTY MAYOR,0274,Citywide Events Coordination & Mgmt.,01,F/T SALARIED,001,FULL YEAR POSITIONS,1475975
002,MAYORALTY,021,OFFICE OF THE MAYOR-OTPS,----,None,A504,CDBG-DR Public Notices,40,OTHR SER&CHR,417,ADVERTISING,170483
002,MAYORALTY,021,OFFICE OF THE MAYOR-OTPS,----,None,0222,Deputy Mayor for Strategic Policy,10,SUPPLYS&MATL,100,SUPPLIES + MATERIALS - GENERAL,5000
002,MAYORALTY,021,OFFICE OF THE MAYOR-OTPS,----,None,0222,Deputy Mayor for Strategic Policy,40,OTHR SER&CHR,453,OVERNIGHT TRVL EXP-GENERAL,5000
002,MAYORALTY,021,OFFICE OF THE MAYOR-OTPS,----,None,0264,NYC Service Office,10,SUPPLYS&MATL,100,UPPLIES + MATERIALS - GENERAL,100000
002,MAYORALTY,021,OFFICE OF THE MAYOR-OTPS,----,None,0277,Senior Advisor to the Mayor,10,SUPPLYS&MATL,100,SUPPLIES + MATERIALS - GENERAL,30000
